Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="Protekt Therapeutics",="https://finder.startupnationcentral.org/company_page/memofit",="PKR Inhibition for Treating Neurodegenerative Diseases",="Life Sciences & HealthTech",="2014",="1-10",="Seed",
="Magneto Thrombectomy Solutions",="https://finder.startupnationcentral.org/company_page/magneto-thrombectomy-solutions",="Thrombectomy Solutions",="Life Sciences & HealthTech",="2016",="1-10",="Seed",
="Innosphere",="https://finder.startupnationcentral.org/company_page/innosphere",="AI-based Brain Stimulation Device for Treatment of ADHD",="Life Sciences & HealthTech",="2016",="1-10",="Pre-Funding",
